Date,Petrol (USD),Diesel (USD),,,,,,,
05-11-2012,136.43,142.75,,,,,,,
12-11-2012,135.09,141.74,,,,,,,
19-11-2012,134.56,141.33,,,,,,,
26-11-2012,134.38,141.13,,,,,,,
03-12-2012,133.05,140.91,,,,,,,
10-12-2012,132.55,140.76,,,,,,,
17-12-2012,131.98,140.08,,,,,,,
24-12-2012,131.95,139.84,,,,,,,
31-12-2012,131.92,139.81,,,,,,,
07-01-2013,131.86,139.75,,,,,,,
14-01-2013,132.00,139.68,,,,,,,
21-01-2013,132.21,139.95,,,,,,,
28-01-2013,132.95,140.77,,,,,,,
04-02-2013,134.38,141.91,,,,,,,
11-02-2013,135.56,143.03,,,,,,,
18-02-2013,136.86,144.17,,,,,,,
25-02-2013,138.50,145.55,,,,,,,
04-03-2013,139.47,146.34,,,,,,,
11-03-2013,140.00,146.71,,,,,,,
18-03-2013,137.58,144.84,,,,,,,
25-03-2013,137.09,144.33,,,,,,,
01-04-2013,137.30,143.51,,,,,,,
08-04-2013,137.31,143.13,,,,,,,
15-04-2013,137.11,141.67,,,,,,,
22-04-2013,135.68,140.64,,,,,,,
29-04-2013,134.66,139.59,,,,,,,
06-05-2013,133.42,138.54,,,,,,,
13-05-2013,133.12,138.27,,,,,,,
20-05-2013,133.17,138.42,,,,,,,
27-05-2013,133.64,138.82,,,,,,,
03-06-2013,134.04,139.17,,,,,,,
10-06-2013,134.30,139.43,,,,,,,
17-06-2013,134.46,139.54,,,,,,,
24-06-2013,134.52,139.64,,,,,,,
01-07-2013,133.44,138.51,,,,,,,
08-07-2013,133.77,138.73,,,,,,,
15-07-2013,134.95,139.84,,,,,,,
22-07-2013,136.04,140.72,,,,,,,
29-07-2013,136.87,141.44,,,,,,,
05-08-2013,137.02,141.67,,,,,,,
12-08-2013,137.13,141.82,,,,,,,
19-08-2013,137.00,141.73,,,,,,,
28-08-2013,136.83,141.78,,,,,,,
02-09-2013,137.14,142.09,,,,,,,
09-09-2013,137.60,142.67,,,,,,,
16-09-2013,137.47,142.52,,,,,,,
23-09-2013,136.95,142.09,,,,,,,
30-09-2013,133.40,140.19,,,,,,,
07-10-2013,131.62,138.83,,,,,,,
14-10-2013,131.67,139.15,,,,,,,
21-10-2013,131.53,138.99,,,,,,,
28-10-2013,131.42,138.88,,,,,,,
04-11-2013,129.92,137.51,,,,,,,
11-11-2013,129.71,137.32,,,,,,,
18-11-2013,129.89,137.47,,,,,,,
25-11-2013,130.03,137.72,,,,,,,
02-12-2013,130.25,137.90,,,,,,,
09-12-2013,130.76,138.55,,,,,,,
16-12-2013,130.96,138.84,,,,,,,
23-12-2013,130.05,138.17,,,,,,,
30-12-2013,130.03,137.98,,,,,,,
06-01-2014,130.26,138.11,,,,,,,
13-01-2014,130.36,138.34,,,,,,,
20-01-2014,129.37,137.23,,,,,,,
27-01-2014,129.02,136.94,,,,,,,
03-02-2014,128.85,136.84,,,,,,,
10-02-2014,128.81,136.84,,,,,,,
17-02-2014,129.16,136.81,,,,,,,
24-02-2014,129.20,136.95,,,,,,,
03-03-2014,129.36,137.15,,,,,,,
10-03-2014,129.39,137.08,,,,,,,
17-03-2014,128.76,136.27,,,,,,,
24-03-2014,128.57,136.00,,,,,,,
31-03-2014,128.76,135.89,,,,,,,
07-04-2014,128.71,136.01,,,,,,,
14-04-2014,128.89,136.05,,,,,,,
21-04-2014,129.11,136.12,,,,,,,
28-04-2014,129.09,135.93,,,,,,,
05-05-2014,129.27,136.16,,,,,,,
12-05-2014,129.50,136.37,,,,,,,
19-05-2014,129.42,136.17,,,,,,,
26-05-2014,129.51,136.36,,,,,,,
02-06-2014,129.63,136.38,,,,,,,
09-06-2014,129.69,136.04,,,,,,,
16-06-2014,129.88,135.54,,,,,,,
23-06-2014,130.14,135.50,,,,,,,
30-06-2014,130.69,136.04,,,,,,,
07-07-2014,131.10,136.22,,,,,,,
14-07-2014,131.11,136.17,,,,,,,
21-07-2014,131.04,135.69,,,,,,,
28-07-2014,130.83,135.50,,,,,,,
04-08-2014,129.63,134.31,,,,,,,
11-08-2014,129.41,133.85,,,,,,,
18-08-2014,129.29,133.74,,,,,,,
25-08-2014,128.34,133.16,,,,,,,
01-09-2014,128.01,132.77,,,,,,,
08-09-2014,128.34,133.09,,,,,,,
15-09-2014,128.43,133.13,,,,,,,
22-09-2014,128.62,133.32,,,,,,,
29-09-2014,128.59,133.23,,,,,,,
06-10-2014,126.78,131.43,,,,,,,
13-10-2014,126.50,131.08,,,,,,,
20-10-2014,125.40,130.00,,,,,,,
27-10-2014,125.11,129.72,,,,,,,
03-11-2014,123.94,128.56,,,,,,,
10-11-2014,122.94,127.59,,,,,,,
17-11-2014,122.50,127.31,,,,,,,
24-11-2014,122.29,127.17,,,,,,,
01-12-2014,121.18,126.11,,,,,,,
08-12-2014,119.83,124.79,,,,,,,
15-12-2014,116.30,122.43,,,,,,,
22-12-2014,113.66,120.81,,,,,,,
29-12-2014,113.16,120.36,,,,,,,
05-01-2015,111.06,117.93,,,,,,,
12-01-2015,108.87,116.22,,,,,,,
19-01-2015,106.83,114.33,,,,,,,
26-01-2015,106.32,113.76,,,,,,,
02-02-2015,106.04,113.61,,,,,,,
09-02-2015,106.35,113.91,,,,,,,
16-02-2015,107.26,114.73,,,,,,,
23-02-2015,108.34,115.74,,,,,,,
02-03-2015,109.20,116.64,,,,,,,
09-03-2015,110.07,117.51,,,,,,,
